date,avgTemp,trip_count
2021-01-30,,1
2021-02-15,,1
2021-03-11,,1
2021-03-14,,1
2021-03-31,,1
2021-04-30,,1
2021-06-04,,1
2021-07-10,,1
2021-07-16,,1
2021-07-19,,1
2021-07-22,,1
2021-08-16,,1
2021-09-05,,2
2021-09-13,,1
2021-10-27,,1
2021-11-07,,1
2021-11-09,,1
2021-11-13,,3
2021-11-16,,1
2021-11-17,,2
2021-11-18,,1
2021-11-21,,1
2021-11-22,,1
2021-12-02,,1
2021-12-04,,2
2021-12-06,,1
2021-12-08,,1
2021-12-11,,3
2021-12-12,,2
2021-12-14,,1
2021-12-19,,1
2021-12-23,,1
2021-12-26,,3
2021-12-28,,1
2021-12-29,,4
2021-12-30,,9
2021-12-31,,583
2022-01-01,11.6,20428
2022-01-02,11.4,43009
2022-01-03,1.4,33189
2022-01-04,-2.7,36842
2022-01-05,3.2,34230
2022-01-06,4.9,44787
2022-01-07,0.7,17401
2022-01-08,-2.5,24455
2022-01-09,1.4,21479
2022-01-10,1.6,34727
2022-01-11,-5.4,26824
2022-01-12,-1.9,40568
2022-01-13,4.0,50572
2022-01-14,4.8,45714
2022-01-15,-6.7,22839
2022-01-16,-8.0,20930
2022-01-17,3.9,29084
2022-01-18,1.8,42935
2022-01-19,3.2,54011
2022-01-20,5.1,33928
2022-01-21,-6.0,33598
2022-01-22,-5.9,31969
2022-01-23,-0.7,32967
2022-01-24,-0.2,41488
2022-01-25,3.6,50692
2022-01-26,-2.3,42005
2022-01-27,-4.2,43830
2022-01-28,0.1,34871
2022-01-29,-4.8,2848
2022-01-30,-7.1,9486
2022-01-31,-3.4,22349
2022-02-01,-1.7,29338
2022-02-02,2.3,41947
2022-02-03,6.4,26568
2022-02-04,5.8,20309
2022-02-05,-2.8,29638
2022-02-06,-4.8,28887
2022-02-07,0.5,30717
2022-02-08,4.1,51893
2022-02-09,2.8,56007
2022-02-10,6.3,61937
2022-02-11,8.6,64614
2022-02-12,11.8,68575
2022-02-13,2.8,20384
2022-02-14,-4.3,34198
2022-02-15,-4.7,40550
2022-02-16,1.6,53683
2022-02-17,11.6,67432
2022-02-18,9.9,47038
2022-02-19,0.1,32450
2022-02-20,-2.6,31051
2022-02-21,4.1,52366
2022-02-22,5.6,36459
2022-02-23,14.4,66325
2022-02-24,1.1,44725
2022-02-25,0.8,30412
2022-02-26,-1.1,41415
2022-02-27,2.4,42805
2022-02-28,0.8,45636
2022-03-01,2.6,56019
2022-03-02,7.7,67108
2022-03-03,5.6,55408
2022-03-04,-1.9,49704
2022-03-05,3.1,51358
2022-03-06,9.6,54531
2022-03-07,18.2,67882
2022-03-08,8.7,62178
2022-03-09,3.2,28088
2022-03-10,4.0,66071
2022-03-11,7.2,69316
2022-03-12,5.1,19628
2022-03-13,-2.3,30833
2022-03-14,5.3,63206
2022-03-15,11.6,78946
2022-03-16,13.6,81449
2022-03-17,8.2,50004
2022-03-18,13.9,92837
2022-03-19,13.1,77861
2022-03-20,14.3,65417
2022-03-21,10.4,73209
2022-03-22,10.7,75235
2022-03-23,7.2,60865
2022-03-24,5.7,45793
2022-03-25,9.6,74873
2022-03-26,10.4,62151
2022-03-27,5.9,45625
2022-03-28,-1.5,38135
2022-03-29,-1.2,48426
2022-03-30,2.6,61254
2022-03-31,9.9,72625
2022-04-01,13.1,68479
2022-04-02,7.2,73254
2022-04-03,7.0,37164
2022-04-04,7.6,68902
2022-04-05,9.7,72629
2022-04-06,8.6,48443
2022-04-07,9.1,35322
2022-04-08,12.8,88195
2022-04-09,11.4,67329
2022-04-10,8.6,57144
2022-04-11,8.8,75355
2022-04-12,13.4,93575
2022-04-13,15.4,98764
2022-04-14,16.3,90635
2022-04-15,15.7,99636
2022-04-16,15.7,82188
2022-04-17,8.3,54110
2022-04-18,7.9,55811
2022-04-19,7.6,58873
2022-04-20,9.4,85294
2022-04-21,10.6,77520
2022-04-22,14.6,97494
2022-04-23,13.3,94585
2022-04-24,12.8,83406
2022-04-25,10.4,72682
2022-04-26,11.5,74947
2022-04-27,11.6,82446
2022-04-28,8.2,78531
2022-04-29,10.4,87089
2022-04-30,12.9,101537
2022-05-01,13.6,94657
2022-05-02,12.1,54536
2022-05-03,12.4,92564
2022-05-04,12.0,79594
2022-05-05,17.2,110355
2022-05-06,14.8,35170
2022-05-07,10.0,20557
2022-05-08,10.4,62745
2022-05-09,13.5,93995
