start_station_name,start_lat,start_lng,end_station_name,end_lat,end_lng,trip_count
Central Park S & 6 Ave,40.76590936,-73.97634151,Central Park S & 6 Ave,40.76590936,-73.97634151,10658
Roosevelt Island Tramway,40.757284,-73.9536,Roosevelt Island Tramway,40.757284,-73.9536,7862
7 Ave & Central Park South,40.7667405590595,-73.9790689945221,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,7378
Soissons Landing,40.69231660719192,-74.01486575603485,Soissons Landing,40.69231660719192,-74.01486575603485,6731
W 21 St & 6 Ave,40.74173969,-73.99415556,9 Ave & W 22 St,40.7454973,-74.00197139,5987
Grand Army Plaza & Central Park S,40.7643971,-73.97371465,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,5858
1 Ave & E 62 St,40.7612274,-73.96094022,1 Ave & E 68 St,40.76500525,-73.95818491,5479
5 Ave & E 72 St,40.77282817,-73.96685276,5 Ave & E 72 St,40.77282817,-73.96685276,5318
12 Ave & W 40 St,40.76087502,-74.00277668,12 Ave & W 40 St,40.76087502,-74.00277668,4979
Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,4846
Broadway & W 58 St,40.76695317,-73.98169333,Broadway & W 58 St,40.76695317,-73.98169333,4782
Central Park West & W 72 St,40.77579376683666,-73.9762057363987,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,4741
Norfolk St & Broome St,40.7172274,-73.98802084,Henry St & Grand St,40.714211,-73.981095,4489
West St & Chambers St,40.71754834,-74.01322069,West St & Chambers St,40.71754834,-74.01322069,4413
West St & Chambers St,40.71754834,-74.01322069,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,4411
North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,Vesey St & Church St,40.71221958009051,-74.01047229766846,4405
W 21 St & 6 Ave,40.74173969,-73.99415556,W 22 St & 10 Ave,40.74691959,-74.00451887,4052
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,4049
Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,Soissons Landing,40.69231660719192,-74.01486575603485,4006
Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,West St & Chambers St,40.71754834,-74.01322069,4004
Soissons Landing,40.69231660719192,-74.01486575603485,Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,4004
Henry St & Grand St,40.714211,-73.981095,Norfolk St & Broome St,40.7172274,-73.98802084,3978
West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,3947
W 22 St & 10 Ave,40.74691959,-74.00451887,W 22 St & 8 Ave,40.74475148,-73.99915362,3911
5 Ave & E 87 St,40.78232260730881,-73.95987510681152,5 Ave & E 87 St,40.78232260730881,-73.95987510681152,3903
Central Park West & W 68 St,40.7734066,-73.97782542,Central Park West & W 68 St,40.7734066,-73.97782542,3808
Roosevelt Island Tramway,40.757284,-73.9536,Motorgate,40.7639089,-73.9477213,3794
Motorgate,40.7639089,-73.9477213,Roosevelt Island Tramway,40.757284,-73.9536,3731
N 6 St & Bedford Ave,40.71745169,-73.95850939,S 4 St & Wythe Ave,40.71285887,-73.96590294,3689
1 Ave & E 68 St,40.76500525,-73.95818491,1 Ave & E 78 St,40.77140426,-73.9535166,3621
E 72 St & York Ave,40.76663814,-73.95348296,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,3544
12 Ave & W 40 St,40.76087502,-74.00277668,West St & Chambers St,40.71754834,-74.01322069,3532
Centre St & Chambers St,40.71273266,-74.0046073,Centre St & Chambers St,40.71273266,-74.0046073,3498
Little West St & 1 Pl,40.70569254,-74.01677685,West St & Liberty St,40.711444,-74.014847,3496
1 Ave & E 78 St,40.77140426,-73.9535166,E 77 St & 3 Ave,40.77314236,-73.95856158,3473
1 Ave & E 78 St,40.77140426,-73.9535166,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,3469
Vesey St & Church St,40.71221958009051,-74.01047229766846,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,3461
E 2 St & Avenue C,40.7208736,-73.98085795,E 1 St & 1 Ave,40.72335597960796,-73.98864984512329,3420
Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,3409
West St & Chambers St,40.71754834,-74.01322069,10 Ave & W 14 St,40.74198159994023,-74.00831580162048,3384
Central Park S & 6 Ave,40.76590936,-73.97634151,5 Ave & E 87 St,40.78232260730881,-73.95987510681152,3367
McGuinness Blvd & Eagle St,40.73555,-73.95284,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,3346
Broadway & W 41 St,40.75513557,-73.98658032,Broadway & W 41 St,40.75513557,-73.98658032,3240
